name	IPA_D0_2	IPA_D0_3	IPA_D3_1	IPA_D3_3	IPA_D3_4	IPA_D7_2	IPA_D7_4	IPA_D7_5	pbs_D0_2	pbs_D0_3	pbs_D0_5	pbs_D3_1	pbs_D3_4	pbs_D7_4	pbs_D7_5
Pou3f3	1.326214	1.395748	1.267324	2.728739	0.590375	0.162129	0.940151	0.582956	0.317812	0.697305	0.883075	0.992368	3.21811	1.219994	1.512701
Pou4f1	0.10797	0.142316	0.087531	0.034816	0.060609	0.09367	0.144588	0.044041	0.113285	0.066182	0.102165	0.143348	0.026701	0.03998	0.123295
Pou5f2	0	0.068269	0.027394	0.073748	0.020019	0.048149	0	0.04311	0	0.103329	0.029168	0.071263	0.023884	0.006791	0
Pou6f1	3.899545	4.293406	4.062983	5.600713	2.852311	1.47059	3.279279	2.736464	2.480828	3.228276	2.804356	6.520095	8.724421	3.372846	4.383187
Ppa1	59.775863	57.078776	61.197276	52.951793	55.38017	47.932814	68.764448	56.42385	45.055179	49.288715	36.351589	45.384547	37.558565	74.132724	45.920556
Ppa2	46.392675	38.855354	41.146716	18.29011	46.903475	38.678159	48.637549	49.624469	53.931501	53.283636	52.551109	30.858397	23.357835	55.559065	42.684958
Ppan	10.729302	12.840512	10.3568	9.445882	11.746318	8.577305	17.18852	16.966404	8.487117	9.927444	9.029414	21.576508	13.927013	8.208785	13.019067
Ppara	3.26206	1.634934	3.10082	0.583805	4.738204	4.756255	2.12744	2.89973	3.46603	4.502779	2.94441	1.389537	0.974436	1.74878	2.381951
Ppard	39.94636	31.822128	24.063543	14.756259	31.628286	28.444146	22.39333	26.433333	33.220255	33.564192	44.500506	31.490715	15.170091	20.320852	21.721007
Pparg	32.009977	23.046731	43.837273	9.744643	60.956756	48.10773	39.582786	50.077233	45.521108	48.41055	50.223251	24.436598	6.155173	39.572552	46.3533
Ppargc1a	2.673181	2.5171	2.654449	2.714465	2.637909	2.50578	0.944382	1.788668	2.045409	2.670141	3.180374	1.682395	1.963033	3.365764	1.671058
Ppargc1b	4.787967	3.998388	3.500219	2.839795	4.205358	5.601296	4.759383	6.122581	4.262691	4.998672	5.101105	5.582825	3.459301	3.981111	6.801329
Ppat	1.4378	1.615861	1.717135	2.573572	1.048068	2.056163	1.938872	1.662603	1.119495	1.692203	0.815882	1.349117	3.203845	1.596424	1.149453
Ppcdc	12.207101	12.715354	11.632616	9.838976	11.788225	8.541552	14.102692	14.501487	10.373945	9.739553	14.101421	20.504803	13.070906	10.108713	14.222173
Ppcs	21.754817	16.071613	20.461983	6.24704	26.870337	20.836078	18.926512	21.466438	23.909887	22.071962	21.199056	15.969152	7.643306	27.759007	27.137945
Ppdpf	67.100991	62.998243	56.149496	27.3092	76.026235	39.036942	64.196653	62.078027	67.317244	66.761998	100.04858	66.879763	34.676815	44.438492	51.107432
Ppef1	0.147627	0.070748	0.12036	0.169442	0.016282	0.022436	0.055169	0.048349	0	0.020028	0	0.132928	0.061764	0.211564	0.109628
Ppef2	0.186611	0.289046	0.197543	0.431846	0.143894	0.131767	0.329553	0.163606	0.104401	0.110492	0.226431	0.330877	0.339624	0.164125	0.060727
Ppfia1	11.180286	10.382148	8.721251	8.307811	8.528692	8.812523	11.1236	11.366534	9.826084	9.862248	9.543855	9.594375	9.018657	9.884914	9.894537
Ppfia2	0.404633	0.421367	0.585136	1.450585	0.288154	0.075178	0.312167	0.327772	0.131972	0.232852	0.260288	0.893462	1.258282	0.469416	0.538674
Ppfia3	22.526263	30.59936	36.820796	6.0316	54.280947	31.769526	31.012976	16.612434	47.837076	36.453677	51.833448	29.139088	7.219799	9.753719	19.974199
Ppfia4	1.701145	1.180271	1.89803	2.085556	1.073648	2.088135	3.194075	2.785115	1.219131	1.528635	2.020623	2.273763	2.260431	1.463671	2.006501
